# Species	Genes	Alg.-Conn.	GCA_001553005.1_ASM155300v1_protein.faa	GCA_001553035.1_ASM155303v1_protein.faa	GCF_000019245.4_ASM1924v3_protein.faa	GCF_000027145.1_ASM2714v1_protein.faa	GCF_000063585.1_ASM6358v1_protein.faa	GCF_000145215.1_ASM14521v1_protein.faa	GCF_000166335.1_ASM16633v1_protein.faa	GCF_000166355.1_ASM16635v1_protein.faa	GCF_000166775.1_ASM16677v1_protein.faa	GCF_000196035.1_ASM19603v1_protein.faa	GCF_000242855.2_ASM24285v2_protein.faa	GCF_000473245.1_ASM47324v1_protein.faa	GCF_000763515.1_ASM76351v1_protein.faa	GCF_000769555.1_ASM76955v1_protein.faa	GCF_000829055.1_ASM82905v1_protein.faa	GCF_001042715.1_ASM104271v1_protein.faa	GCF_001050475.1_ASM105047v1_protein.faa	GCF_001687565.2_ASM168756v2_protein.faa	GCF_001687585.2_ASM168758v2_protein.faa	GCF_001687665.2_ASM168766v2_protein.faa	GCF_001951175.1_ASM195117v1_protein.faa	GCF_001971585.1_ASM197158v1_protein.faa	GCF_002009235.1_ASM200923v1_protein.faa	GCF_002706745.1_ASM270674v1_protein.faa	GCF_003606265.1_ASM360626v1_protein.faa	GCF_003614235.1_ASM361423v1_protein.faa	GCF_003641145.1_ASM364114v1_protein.faa	GCF_003641185.1_ASM364118v1_protein.faa	GCF_003999255.1_ASM399925v1_protein.faa	GCF_004103615.1_ASM410361v1_protein.faa	GCF_004785625.2_ASM478562v2_protein.faa	GCF_006007945.1_ASM600794v1_protein.faa	GCF_007954525.1_ASM795452v1_protein.faa	GCF_007954605.1_ASM795460v1_protein.faa	GCF_007954785.1_ASM795478v1_protein.faa	GCF_009648575.1_ASM964857v1_protein.faa	GCF_009913915.1_ASM991391v1_protein.faa	GCF_012396635.1_ASM1239663v1_protein.faa	GCF_014042035.1_ASM1404203v1_protein.faa	GCF_015234765.1_ASM1523476v1_protein.faa	GCF_016127255.1_ASM1612725v1_protein.faa	GCF_018363075.1_ASM1836307v1_protein.faa	GCF_900120125.1_PRJEB18020_protein.faa	GCF_900187165.1_52121_G02_protein.faa	GCF_900638015.1_54984_A01_protein.faa
33	40	0.282	KXB54987.1	KXB60321.1	WP_013245487.1	WP_012984950.1	WP_003358881.1	*	*	*	*	NP_464088.1	WP_003153413.1,WP_015387545.1	WP_009794817.1	WP_025279768.1	WP_003153413.1,WP_014419156.1	WP_025012770.1	WP_044823251.1,WP_044825585.1	WP_048706225.1	WP_006828546.1	WP_008497671.1	WP_065526778.1	*	WP_076616371.1	WP_058385838.1,WP_071154520.1	WP_010020403.1	WP_066677000.1	WP_003376355.1	WP_171284604.1	WP_175365124.1	*	WP_046129855.1,WP_046131531.1,WP_173427508.1	WP_112224398.1	WP_057814795.1	*	*	*	WP_045554404.1	*	WP_031550855.1	WP_043926775.1,WP_182070271.1	WP_179940624.1	*	*	WP_062171722.1	WP_089864277.1	WP_126320348.1
45	45	1	KXB55007.1	KXB64055.1	WP_003569704.1	WP_012985084.1	WP_012048324.1	WP_013291342.1	WP_013412884.1	WP_013402171.1	WP_013429300.1	NP_464254.1	WP_015388763.1	WP_009795686.1	WP_014092173.1	WP_022552505.1	WP_025013544.1	WP_044826466.1	WP_048706179.1	WP_065536303.1	WP_008499195.1	WP_008431697.1	WP_075887480.1	WP_076615492.1	WP_058386694.1	WP_010020433.1	WP_120140804.1	WP_003376749.1	WP_021730620.1	WP_050339103.1	WP_127352610.1	WP_046132938.1	WP_112224393.1	WP_057811869.1	WP_014974499.1	WP_095652505.1	WP_040190069.1	WP_153648298.1	WP_011679482.1	WP_031553675.1	WP_182069529.1	WP_179941820.1	WP_010279264.1	WP_129302675.1	WP_072520260.1	WP_095178268.1	WP_126320561.1
45	45	1	KXB55009.1	KXB62149.1	WP_003564255.1	WP_012986387.1	WP_003357557.1	WP_013289979.1	WP_013403820.1	WP_013403820.1	WP_013430845.1	NP_465991.1	WP_003151513.1	WP_009793069.1	WP_014093683.1	WP_003151513.1	WP_005684526.1	WP_044823073.1	WP_048706127.1	WP_006828469.1	WP_008429555.1	WP_065526840.1	WP_057866968.1	WP_076615326.1	WP_058385901.1	WP_010020500.1	WP_066673431.1	WP_003379243.1	WP_021731164.1	WP_003637866.1	WP_011916441.1	WP_046131841.1	WP_112224475.1	WP_057814064.1	WP_014974736.1	WP_010001192.1	WP_004900057.1	WP_003768278.1	WP_004164719.1	WP_006364855.1	WP_003185550.1	WP_179941822.1	WP_004911383.1	WP_005684526.1	WP_072520146.1	WP_089863539.1	WP_036105730.1
34	38	0.402	KXB55015.1	KXB60299.1	WP_003565675.1	WP_003719750.1,WP_012985997.1	WP_003359375.1	*	*	*	*	NP_464982.1,NP_465391.1	WP_003152991.1	WP_009791407.1	WP_003719750.1,WP_014093206.1	WP_017418169.1	WP_039639059.1	WP_044826279.1	WP_048703203.1	WP_065536997.1	WP_008499002.1	WP_065526533.1	WP_075887658.1	WP_076616695.1	WP_058385555.1	WP_010019741.1	WP_066679266.1	*	WP_021730844.1	WP_050338523.1	*	WP_046130025.1	WP_112223815.1	WP_057811848.1	*	*	*	WP_003721963.1,WP_033532920.1	*	WP_031553399.1	WP_154997315.1	WP_179941266.1	*	WP_129302117.1	WP_062174129.1	WP_089864586.1	WP_003755832.1
29	29	1	KXB55017.1	KXB60298.1	WP_003576237.1	WP_003748506.1	WP_003358068.1	*	*	*	*	NP_465390.1	WP_003152989.1	WP_009791406.1	WP_025280006.1	WP_003152989.1	WP_025013310.1	WP_048407539.1	WP_048704300.1	WP_006828686.1	WP_008499001.1	WP_065526534.1	*	WP_076614295.1	WP_058385556.1	*	WP_066674052.1	WP_039219482.1	*	*	*	WP_046130046.1	WP_112223814.1	*	*	*	*	WP_003763015.1	*	WP_006363558.1	WP_094777426.1	WP_179941267.1	*	WP_129302279.1	WP_021753345.1	WP_095178051.1	*
21	21	1	KXB55050.1	KXB58078.1	*	WP_012986040.1	*	*	*	*	*	NP_465434.1	WP_003151885.1	WP_022543264.1	WP_014093251.1	WP_022553741.1	*	*	*	WP_006830209.1	WP_008498808.1	WP_065527280.1	*	*	WP_078080811.1	*	*	*	*	WP_056953099.1	*	WP_046130190.1	WP_112224180.1	*	*	*	*	WP_153648732.1	*	WP_031552409.1	WP_182070107.1	WP_179939952.1	*	*	WP_197415954.1	*	WP_036107111.1
37	41	0.142	KXB55051.1	KXB58076.1	WP_003564334.1	WP_012984838.1,WP_012985441.1	*	*	*	*	*	NP_463920.1,NP_464752.1	WP_012118732.1	WP_035402897.1	WP_014091851.1,WP_014092619.1	WP_012118732.1	WP_010489295.1	WP_044824267.1	WP_048706163.1	WP_238323333.1	WP_008496844.1	WP_065525477.1	WP_057866628.1	WP_076615456.1	WP_071153019.1	WP_010020448.1	WP_120140723.1	*	WP_021730892.1	WP_050339114.1	*	WP_046130620.1	WP_135815221.1	WP_057811880.1	WP_014974567.1	WP_077282398.1	WP_146992843.1	WP_033533447.1,WP_153648188.1	WP_042250498.1	WP_031552397.1	WP_154998464.1	WP_179941816.1	WP_010291837.1	WP_010489295.1	WP_062171798.1	*	WP_126320510.1
31	34	0.226	KXB55056.1	KXB64052.1	WP_013245866.1	WP_003749151.1	*	*	*	*	*	NP_465735.1	WP_015388476.1	WP_009793944.1	WP_014093531.1	WP_003155221.1	WP_025013444.1	*	WP_157023293.1	WP_065537134.1	WP_008496026.1	WP_065526879.1	WP_075887251.1,WP_232230871.1	WP_076614292.1	WP_071153692.1	*	*	*	WP_021731287.1	WP_050340209.1	*	WP_046129375.1,WP_046130851.1	WP_112224512.1	WP_057813619.1	*	*	*	WP_045553954.1	WP_025267774.1	WP_031553319.1	WP_154998564.1,WP_182069824.1	WP_179941613.1	WP_010278467.1	WP_213223951.1	WP_234971548.1	*	WP_036104838.1
32	43	0.12	KXB55057.1	KXB64049.1	WP_013245330.1	WP_003746561.1	*	*	*	*	*	NP_464468.1	WP_003151815.1,WP_003152242.1	WP_009795298.1,WP_009795722.1	WP_003719147.1	WP_007408835.1,WP_038461591.1	WP_025012590.1	*	WP_048704865.1	WP_006831232.1	WP_065528537.1	WP_065526763.1	WP_057867943.1	WP_076614214.1	WP_058385823.1	WP_010018911.1	*	*	WP_021729946.1,WP_021732231.1	WP_003587210.1,WP_021338046.1,WP_050339800.1	*	WP_046130222.1,WP_046131354.1	WP_112224584.1	WP_003587210.1,WP_057812253.1	WP_003587210.1,WP_019041559.1	*	*	WP_003761404.1	WP_010276748.1	WP_031553311.1	WP_154995400.1,WP_154998194.1	WP_179941774.1	*	WP_129301343.1,WP_129302898.1	WP_062172147.1	*	WP_003754905.1
16	16	1	KXB55059.1	KXB63077.1	*	WP_012986171.1	*	*	*	*	*	NP_465597.1	*	*	WP_025280032.1	*	*	*	*	WP_006831528.1	WP_008497393.1	*	*	*	WP_071154662.1	*	*	*	*	*	*	WP_046132029.1	WP_112223305.1	*	*	*	*	WP_153648688.1	*	WP_031554447.1	WP_182069190.1	WP_179940586.1	*	*	WP_062172879.1	*	WP_036104662.1
45	45	1	KXB55130.1	KXB63147.1	WP_003565279.1	WP_012985506.1	WP_012048204.1	WP_013289978.1	WP_013411561.1	WP_013403821.1	WP_013430846.1	NP_464792.1	WP_003152618.1	WP_009796050.1	WP_014092671.1	WP_003152618.1	WP_025012907.1	WP_044823074.1	WP_048702838.1	WP_065537047.1	WP_065527891.1	WP_065526633.1	WP_057867223.1	WP_076617487.1	WP_058385668.1	WP_010020060.1	WP_066673430.1	WP_120361874.1	WP_056988473.1	WP_003639016.1	WP_127352389.1	WP_046132045.1	WP_112223706.1	WP_057811983.1	WP_014974612.1	WP_147000669.1	WP_085698811.1	WP_003771581.1	WP_011680191.1	WP_031550974.1	WP_154995873.1	WP_179940430.1	WP_010293073.1	WP_129300904.1	WP_072520224.1	WP_089863537.1	WP_003755319.1
15	15	0.321	KXB55131.1	KXB59582.1	*	*	*	*	*	*	*	*	WP_003155023.1	WP_219620057.1	*	WP_003155023.1	*	*	*	WP_006829724.1	WP_040850917.1	WP_065525811.1	*	*	WP_071153552.1	*	*	*	*	*	*	WP_046131205.1	WP_112223051.1	*	*	*	*	*	*	WP_031553028.1	WP_154994830.1	WP_179939669.1	*	*	WP_062174295.1	*	*
45	45	1	KXB55132.1	KXB59581.1	WP_003564111.1	WP_012985793.1	WP_011947992.1	WP_013289954.1	WP_013411535.1	WP_013403843.1	WP_013430869.1	NP_465189.1	WP_003152253.1	WP_009795273.1	WP_014093026.1	WP_003152253.1	WP_025012486.1	WP_044826090.1	WP_048703654.1	WP_006831236.1	WP_008497270.1	WP_065526759.1	WP_057867756.1	WP_076615650.1	WP_071153369.1	WP_010019196.1	WP_066674307.1	WP_003378407.1	WP_021731292.1	WP_050340213.1	WP_127352408.1	WP_046131343.1	WP_112224588.1	WP_057815694.1	WP_014973894.1	WP_068851795.1	WP_146992303.1	WP_003762563.1	WP_011680314.1	WP_031553031.1	WP_105980004.1	WP_179939671.1	WP_010275576.1	WP_129301688.1	WP_062174297.1	WP_089866027.1	WP_036104371.1
39	39	1	KXB55133.1	KXB62444.1	WP_003578382.1	WP_012986197.1	WP_012047869.1	WP_013290359.1	WP_013412200.1	WP_013403139.1	WP_013430188.1	NP_465627.1	WP_003151012.1	WP_009791662.1	WP_014093436.1	WP_003151012.1	WP_025013051.1	*	WP_048706164.1	*	*	*	WP_075887471.1	WP_076615459.1	*	WP_010020447.1	WP_066674569.1	WP_003375048.1	WP_021730893.1	WP_003637888.1	WP_127351705.1	WP_046132437.1	*	WP_057811879.1	WP_014974566.1	WP_029509149.1	WP_004900398.1	WP_010991067.1	WP_014324962.1	WP_031550963.1	WP_154998443.1	WP_179939673.1	WP_010291835.1	WP_129302695.1	WP_062174566.1	WP_095177662.1	WP_003754761.1
37	37	0.215	KXB55135.1	KXB62445.1	*	WP_003753774.1	WP_011947989.1	WP_013289568.1	WP_013411166.1	WP_013404250.1	WP_013431262.1	NP_466049.1	WP_003151185.1	WP_009792654.1	WP_014093738.1	WP_007614362.1	*	WP_044826075.1	WP_048702675.1	WP_006829226.1	WP_008496909.1	WP_065525534.1	WP_075887797.1	WP_076617756.1	WP_071153056.1	WP_010020164.1	WP_066674336.1	WP_004443576.1	WP_021732592.1	WP_050339394.1	WP_127351152.1	WP_046130318.1	WP_135815259.1	WP_057812088.1	*	*	*	WP_003772302.1	*	WP_006363732.1	WP_154998350.1	WP_179939677.1	*	*	WP_072520238.1	WP_089866043.1	WP_036105602.1
6	6	0.667	KXB55136.1	*	*	*	*	WP_013290732.1	WP_013411857.1	WP_013403531.1	WP_013430559.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_241243449.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
14	17	0.1	*	*	*	*	WP_011949148.1	*	*	*	*	NP_464190.1	WP_003151252.1,WP_015387611.1	WP_022544525.1	*	WP_021494856.1,WP_022553905.1	*	WP_044822944.1	*	*	*	*	*	*	*	WP_010020449.1	WP_066678444.1	*	WP_021730891.1	*	*	WP_046130120.1,WP_046130146.1	*	WP_057811881.1	*	*	*	WP_003770854.1	*	WP_031553123.1	WP_154999544.1	*	*	*	*	*	*
37	39	0.125	KXB55137.1	*	WP_003570376.1	WP_012985644.1	WP_003357963.1	WP_013290870.1	WP_013412409.1	WP_013402891.1	WP_013429942.1	NP_464988.1	WP_003152976.1	WP_009791400.1,WP_009794465.1	WP_014092836.1	WP_003152976.1	WP_025013636.1	WP_044826273.1	WP_048706337.1	WP_006828690.1	WP_008431620.1	WP_065526538.1	WP_232230859.1	WP_236906184.1	WP_058385560.1	*	WP_066674042.1,WP_066675365.1	WP_003375789.1	*	*	WP_127352169.1	WP_046130030.1	WP_112223810.1	*	WP_014974772.1	WP_010006087.1	WP_004905938.1	WP_003762294.1	WP_025267787.1	*	WP_043928563.1	*	WP_010278613.1	WP_129302112.1	*	WP_095178388.1	WP_036103309.1
42	42	1	KXB55138.1	KXB57821.1	WP_003566292.1	WP_012985352.1	WP_012048241.1	WP_013290421.1	WP_013412140.1	WP_013403200.1	WP_013430250.1	NP_464621.1	WP_003155784.1	*	WP_014092508.1	WP_017419012.1	WP_025013769.1	WP_044823237.1	WP_048704815.1	WP_006830308.1	WP_065528533.1	WP_065527741.1	WP_057867957.1	WP_076614226.1	WP_058386946.1	WP_029606459.1	WP_120140815.1	WP_120362177.1	WP_082618913.1	WP_082230266.1	WP_127351760.1	WP_046130455.1	WP_112223701.1	WP_057811899.1	WP_014974532.1	WP_095652483.1	WP_004908136.1	WP_153648225.1	WP_025267889.1	*	WP_154999076.1	*	WP_147651297.1	WP_129301729.1	WP_062172749.1	WP_095178192.1	WP_126320691.1
2	2	1	KXB55148.1	*	*	*	*	*	*	WP_013402368.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
26	34	0.113	*	*	WP_003564314.1	WP_012984830.1	WP_011986143.1,WP_011986758.1	*	*	*	*	NP_463945.1,NP_465931.1	*	WP_009791630.1,WP_009792421.1,WP_022544432.1	WP_014091842.1	*	WP_025012804.1	WP_044826413.1	WP_048705192.1	WP_065537085.1	WP_008497241.1	WP_065526749.1	WP_057867650.1	*	*	*	*	*	WP_021731971.1	WP_196778504.1	WP_127352921.1	WP_046130667.1,WP_046132967.1	*	*	WP_014973943.1	*	WP_004904405.1,WP_099044666.1	WP_003760414.1	WP_010280515.1,WP_011679228.1	*	WP_020450493.1,WP_020450660.1	*	WP_004910360.1	WP_129302703.1	*	WP_089866153.1	WP_126320662.1
9	9	0.778	KXB55156.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_083387735.1	*	*	*	*	*	*	*	*	WP_021732244.1	WP_050338251.1	*	*	*	*	WP_014973574.1	WP_029510047.1	WP_004909313.1	*	WP_010284482.1	*	*	*	WP_010278869.1	*	*	*	*
33	42	0.119	*	*	WP_003601383.1	WP_012985396.1,WP_012985695.1	WP_011987068.1	*	*	*	*	NP_464692.1,NP_465064.1	WP_015388498.1	*	WP_003719832.1,WP_025279885.1	WP_021494903.1	WP_025012751.1	*	WP_048705823.1	WP_040852950.1	WP_008497062.1	WP_065525677.1	WP_075887526.1	WP_076618355.1	WP_078080625.1	WP_010020320.1	WP_120140669.1	WP_003378299.1	WP_003641945.1,WP_003643656.1,WP_021730627.1	WP_003638198.1,WP_050337983.1,WP_081484832.1	*	WP_046129701.1	WP_135815105.1,WP_135815108.1	WP_057814416.1	WP_014974560.1	WP_029509160.1	WP_004900379.1	WP_003762410.1,WP_153648210.1	WP_011680083.1	*	WP_154996511.1	*	WP_010296250.1	WP_129302801.1	*	WP_089863986.1	WP_036103889.1
32	46	0.122	KXB55480.1,KXB58902.1	KXB61453.1	WP_003564994.1,WP_003564996.1	*	WP_011948750.1	*	*	*	*	*	*	WP_009791483.1	*	*	WP_010488866.1,WP_025012627.1	WP_044823223.1	WP_048702391.1,WP_048702393.1	WP_006828500.1	WP_008496774.1,WP_008497713.1	WP_065525417.1,WP_065526816.1	WP_075887505.1	*	WP_071153129.1,WP_071153781.1	WP_010020376.1	WP_066673359.1	*	WP_021732584.1	WP_121243412.1	*	WP_046130198.1,WP_046132992.1	WP_112224445.1,WP_135814974.1	WP_057814462.1	WP_014973884.1,WP_147000391.1	WP_029509578.1,WP_068851756.1	WP_004905335.1	WP_003763809.1	WP_011679279.1,WP_011679280.1	WP_031550624.1	WP_154998224.1,WP_182071055.1	WP_179941421.1	WP_139967281.1	WP_129302357.1,WP_213224388.1	WP_062174677.1	WP_089866235.1	*
11	11	1	KXB55612.1	*	WP_013245993.1	WP_012986537.1	WP_012047937.1	*	*	*	WP_013429612.1	NP_466211.1	*	*	WP_014093867.1	*	WP_039639381.1	*	*	*	*	*	*	*	*	*	WP_120140959.1	*	*	*	*	*	*	*	*	*	*	WP_010991399.1	*	*	*	*	*	WP_129302505.1	*	*	*
5	5	1	*	*	*	*	*	*	*	*	*	*	WP_015388249.1	WP_009795974.1	*	WP_022553363.1	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	WP_046129013.1	*	*	*	*	*	*	*	*	WP_154997737.1	*	*	*	*	*	*
40	40	1	KXB55616.1	*	WP_003568202.1	WP_012986188.1	WP_011986966.1	WP_013290597.1	WP_013411988.1	WP_013403364.1	WP_013430408.1	NP_465614.1	WP_003152428.1	WP_009791717.1	WP_014093421.1	WP_022552835.1	WP_010490507.1	WP_044826451.1	WP_048703618.1	WP_193781246.1	WP_205847846.1	WP_197681420.1	*	WP_076615695.1	WP_177167592.1	WP_010021139.1	WP_066673333.1	WP_003375742.1	WP_021731173.1	WP_021337461.1	WP_127351904.1	WP_046129677.1	WP_233538986.1	WP_057812731.1	WP_014974084.1	WP_147001178.1	WP_146992482.1	WP_003769660.1	WP_011680142.1	*	WP_075751951.1	*	WP_010291811.1	WP_129300942.1	*	WP_095177351.1	WP_036104680.1
